##Query peptide: GAALTTFISLAGR
##Number of matched proteins: 496
#Protein AC	Protein ID	Protein Name	Length	Organism	Matched Range(s)	Proteomic Databases	IEDB
A0K5T6	A0K5T6_BURCH [tr]	RNAse E	1059	Burkholderia cenocepacia (strain HI2424) [331272]	112-124		
A0YGR2	A0YGR2_9GAMM [tr]	Ribonuclease E	956	marine gamma proteobacterium HTCC2143 [247633]	127-139		
A1INT3	A1INT3_NEIMA [tr]	Ribonuclease E	919	Neisseria meningitidis serogroup A / serotype 4A (strain Z2491) [122587]	111-123		
A1KRM8	A1KRM8_NEIMF [tr]	Ribonuclease E	919	Neisseria meningitidis serogroup C / serotype 2a (strain ATCC 700532 / FAM18) [272831]	111-123		
A1U1T9	A1U1T9_MARAV [tr]	RNAse E	1056	Marinobacter aquaeolei (strain ATCC 700491 / DSM 11845 / VT8) (Marinobacter hydrocarbonoclasticus (strain DSM 11845)) [351348]	114-126		
A1V6E2	A1V6E2_BURMS [tr]	Ribonuclease E	1090	Burkholderia mallei (strain SAVP1) [320388]	112-124		
A1WAY7	A1WAY7_ACISJ [tr]	RNAse E	1025	Acidovorax sp. (strain JS42) [232721]	112-124		
A2S9X2	A2S9X2_BURM9 [tr]	Ribonuclease E	1087	Burkholderia mallei (strain NCTC 10229) [412022]	112-124		
A2VRT0	A2VRT0_9BURK [tr]	Ribonuclease E and G	1090	Burkholderia cenocepacia PC184 [350702]	112-124		
A2WBK9	A2WBK9_9BURK [tr]	Ribonucleases G and E	1022	Burkholderia dolosa AUO158 [350701]	183-195		
A3KW11	A3KW11_PSEAI [tr]	Ribonuclease E	1057	Pseudomonas aeruginosa C3719 [350704]	111-123		
A3LB38	A3LB38_PSEAI [tr]	Ribonuclease E	1057	Pseudomonas aeruginosa 2192 [350703]	111-123		
A3MM67	A3MM67_BURM7 [tr]	Ribonuclease E	1087	Burkholderia mallei (strain NCTC 10247) [320389]	112-124		
A3NBV2	A3NBV2_BURP6 [tr]	Ribonuclease E	1088	Burkholderia pseudomallei (strain 668) [320373]	112-124		
A3NXN9	A3NXN9_BURP0 [tr]	Ribonuclease E	1088	Burkholderia pseudomallei (strain 1106a) [357348]	112-124		
A3RWT3	A3RWT3_RALSL [tr]	Ribonuclease E	1018	Ralstonia solanacearum UW551 [342110]	112-124		
A4BML2	A4BML2_9GAMM [tr]	RNase E	910	Nitrococcus mobilis Nb-231 [314278]	111-123		
A4JCN8	A4JCN8_BURVG [tr]	RNAse E	1074	Burkholderia vietnamiensis (strain G4 / LMG 22486) (Burkholderia cepacia (strain R1808)) [269482]	112-124		
A4LE54	A4LE54_BURPE [tr]	Ribonuclease E	1093	Burkholderia pseudomallei 305 [425067]	112-124		
A4VMT0	A4VMT0_PSEU5 [tr]	Ribonuclease E	1070	Pseudomonas stutzeri (strain A1501) [379731]	126-138		
A4XSR7	A4XSR7_PSEMY [tr]	RNAse E	1012	Pseudomonas mendocina (strain ymp) [399739]	112-124		
A5TIW3	A5TIW3_BURML [tr]	Ribonuclease E	1087	Burkholderia mallei 2002721280 [370895]	112-124		
A5W723	A5W723_PSEP1 [tr]	RNAse E	1090	Pseudomonas putida (strain F1 / ATCC 700007) [351746]	111-123		
